age,total,male,female
0,268132.4579504994,134066.2289752497,134066.2289752497
1,391604.56777125126,195802.28388562563,195802.28388562563
2,391604.56777125126,195802.28388562563,195802.28388562563
3,391604.56777125126,195802.28388562563,195802.28388562563
4,391604.56777125126,195802.28388562563,195802.28388562563
5,391604.56777125126,195802.28388562563,195802.28388562563
6,391604.56777125126,195802.28388562563,195802.28388562563
7,391604.56777125126,195802.28388562563,195802.28388562563
8,391604.56777125126,195802.28388562563,195802.28388562563
9,391604.56777125126,195802.28388562563,195802.28388562563
10,391604.56777125126,195802.28388562563,195802.28388562563
11,391604.56777125126,195802.28388562563,195802.28388562563
12,391604.56777125126,195802.28388562563,195802.28388562563
13,391604.56777125126,195802.28388562563,195802.28388562563
14,391604.56777125126,195802.28388562563,195802.28388562563
15,391604.56777125126,195802.28388562563,195802.28388562563
16,391604.56777125126,195802.28388562563,195802.28388562563
17,391604.56777125126,195802.28388562563,195802.28388562563
18,391604.56777125126,195802.28388562563,195802.28388562563
19,744775.5138617387,372387.75693086936,372387.75693086936
20,744775.5138617387,372387.75693086936,372387.75693086936
21,744775.5138617387,372387.75693086936,372387.75693086936
22,744775.5138617387,372387.75693086936,372387.75693086936
23,744775.5138617387,372387.75693086936,372387.75693086936
24,744775.5138617387,372387.75693086936,372387.75693086936
25,744775.5138617387,372387.75693086936,372387.75693086936
26,744775.5138617387,372387.75693086936,372387.75693086936
27,744775.5138617387,372387.75693086936,372387.75693086936
28,744775.5138617387,372387.75693086936,372387.75693086936
29,744775.5138617387,372387.75693086936,372387.75693086936
30,744775.5138617387,372387.75693086936,372387.75693086936
31,744775.5138617387,372387.75693086936,372387.75693086936
32,744775.5138617387,372387.75693086936,372387.75693086936
33,744775.5138617387,372387.75693086936,372387.75693086936
34,744775.5138617387,372387.75693086936,372387.75693086936
35,744775.5138617387,372387.75693086936,372387.75693086936
36,744775.5138617387,372387.75693086936,372387.75693086936
37,744775.5138617387,372387.75693086936,372387.75693086936
38,744775.5138617387,372387.75693086936,372387.75693086936
39,744775.5138617387,372387.75693086936,372387.75693086936
40,741793.4297221522,370896.7148610761,370896.7148610761
41,741793.4297221522,370896.7148610761,370896.7148610761
42,741793.4297221522,370896.7148610761,370896.7148610761
43,741793.4297221522,370896.7148610761,370896.7148610761
44,741793.4297221522,370896.7148610761,370896.7148610761
45,741793.4297221522,370896.7148610761,370896.7148610761
46,741793.4297221522,370896.7148610761,370896.7148610761
47,741793.4297221522,370896.7148610761,370896.7148610761
48,741793.4297221522,370896.7148610761,370896.7148610761
49,741793.4297221522,370896.7148610761,370896.7148610761
50,741793.4297221522,370896.7148610761,370896.7148610761
51,741793.4297221522,370896.7148610761,370896.7148610761
52,741793.4297221522,370896.7148610761,370896.7148610761
53,741793.4297221522,370896.7148610761,370896.7148610761
54,741793.4297221522,370896.7148610761,370896.7148610761
55,741793.4297221522,370896.7148610761,370896.7148610761
56,741793.4297221522,370896.7148610761,370896.7148610761
57,741793.4297221522,370896.7148610761,370896.7148610761
58,741793.4297221522,370896.7148610761,370896.7148610761
59,741793.4297221522,370896.7148610761,370896.7148610761
60,741793.4297221522,370896.7148610761,370896.7148610761
61,741793.4297221522,370896.7148610761,370896.7148610761
62,741793.4297221522,370896.7148610761,370896.7148610761
63,741793.4297221522,370896.7148610761,370896.7148610761
64,741793.4297221522,370896.7148610761,370896.7148610761
65,741793.4297221522,370896.7148610761,370896.7148610761
66,262790.60456610884,131395.30228305442,131395.30228305442
67,262790.60456610884,131395.30228305442,131395.30228305442
68,262790.60456610884,131395.30228305442,131395.30228305442
69,262790.60456610884,131395.30228305442,131395.30228305442
70,258828.9371605896,129414.4685802948,129414.4685802948
71,258828.9371605896,129414.4685802948,129414.4685802948
72,258828.9371605896,129414.4685802948,129414.4685802948
73,258828.9371605896,129414.4685802948,129414.4685802948
74,258828.9371605896,129414.4685802948,129414.4685802948
75,258828.9371605896,129414.4685802948,129414.4685802948
76,258828.9371605896,129414.4685802948,129414.4685802948
77,258828.9371605896,129414.4685802948,129414.4685802948
78,258828.9371605896,129414.4685802948,129414.4685802948
79,258828.9371605896,129414.4685802948,129414.4685802948
80,258828.9371605896,129414.4685802948,129414.4685802948
81,258828.9371605896,129414.4685802948,129414.4685802948
82,258828.9371605896,129414.4685802948,129414.4685802948
83,258828.9371605896,129414.4685802948,129414.4685802948
84,258828.9371605896,129414.4685802948,129414.4685802948
85,258828.9371605896,129414.4685802948,129414.4685802948
86,258828.9371605896,129414.4685802948,129414.4685802948
87,258828.9371605896,129414.4685802948,129414.4685802948
88,258828.9371605896,129414.4685802948,129414.4685802948
89,258828.9371605896,129414.4685802948,129414.4685802948
90,237700.0443311537,118850.02216557685,118850.02216557685
91,237700.0443311537,118850.02216557685,118850.02216557685
92,237700.0443311537,118850.02216557685,118850.02216557685
93,237700.0443311537,118850.02216557685,118850.02216557685
94,237700.0443311537,118850.02216557685,118850.02216557685
95,237700.0443311537,118850.02216557685,118850.02216557685
96,237700.0443311537,118850.02216557685,118850.02216557685
97,237700.0443311537,118850.02216557685,118850.02216557685
98,237700.0443311537,118850.02216557685,118850.02216557685
99,237700.0443311537,118850.02216557685,118850.02216557685
100,237700.0443311537,118850.02216557685,118850.02216557685
101,237700.0443311537,118850.02216557685,118850.02216557685
